"Tabela 202 - População residente, por sexo e situação do domicílio",,,,,,,,,,,,,,,,,,
BA,Bairro,3106200238,São Francisco das Chagas,,,,,,,,,,,,,1346,663,683
BA,Bairro,3106200239,São Salvador,,,,,,,,,,,,,5839,2759,3080
BA,Bairro,3106200240,Senhor dos Passos,,,,,,,,,,,,,2849,1318,1531
BA,Bairro,3106200241,Serrano,,,,,,,,,,,,,9971,4748,5223
BA,Bairro,3106200243,Vila Antena Montanhês,,,,,,,,,,,,,448,206,242
BA,Bairro,3106200244,Vila Califórnia,,,,,,,,,,,,,3100,1496,1604
BA,Bairro,3106200245,Vila Coqueiral,,,,,,,,,,,,,1533,735,798
BA,Bairro,3106200246,Vila das Oliveiras,,,,,,,,,,,,,241,98,143
BA,Bairro,3106200247,Vila Jardim Alvorada,,,,,,,,,,,,,2776,1330,1446
BA,Bairro,3106200248,Vila Jardim Montanhes,,,,,,,,,,,,,259,116,143
BA,Bairro,3106200249,Vila Jardim São José,,,,,,,,,,,,,1698,818,880
BA,Bairro,3106200250,Vila Nova Cachoeirinha 1ª Seção,,,,,,,,,,,,,2273,1106,1167
BA,Bairro,3106200251,Vila Nova Cachoeirinha 2ª Seção,,,,,,,,,,,,,145,66,79
BA,Bairro,3106200252,Vila Oeste,,,,,,,,,,,,,1339,625,714
BA,Bairro,3106200253,Vila Puc,,,,,,,,,,,,,89,44,45
BA,Bairro,3106200254,Vila Santo Antônio Barroquinha,,,,,,,,,,,,,667,323,344
BA,Bairro,3106200255,Vila Sumaré,,,,,,,,,,,,,2987,1417,1570
BA,Bairro,3106200256,Vila Trinta e Um de Março,,,,,,,,,,,,,1525,715,810
BA,Bairro,3106200257,Aeroporto,,,,,,,,,,,,,1325,643,682
BA,Bairro,3106200258,Bandeirantes,,,,,,,,,,,,,5428,2659,2769
BA,Bairro,3106200259,Vila São Francisco,,,,,,,,,,,,,69,28,41
BA,Bairro,3106200260,Braúnas,,,,,,,,,,,,,2031,979,1052
BA,Bairro,3106200262,Castelo,,,,,,,,,,,,,17083,8153,8930
BA,Bairro,3106200263,Confisco,,,,,,,,,,,,,4283,2033,2250
BA,Bairro,3106200264,Conjunto Lagoa,,,,,,,,,,,,,662,294,368
BA,Bairro,3106200265,Conjunto São Francisco de Assis,,,,,,,,,,,,,300,153,147
BA,Bairro,3106200266,Copacabana,,,,,,,,,,,,,13333,6414,6919
BA,Bairro,3106200267,Dona Clara,,,,,,,,,,,,,8844,4136,4708
BA,Bairro,3106200268,Garças,,,,,,,,,,,,,966,484,482
BA,Bairro,3106200269,Indaiá,,,,,,,,,,,,,3317,1615,1702
BA,Bairro,3106200270,Itatiaia,,,,,,,,,,,,,1793,881,912
BA,Bairro,3106200271,Jaraguá,,,,,,,,,,,,,4059,1908,2151
BA,Bairro,3106200272,Jardim Atlântico,,,,,,,,,,,,,1459,699,760
BA,Bairro,3106200273,Liberdade,,,,,,,,,,,,,4477,2199,2278
BA,Bairro,3106200274,Manacas,,,,,,,,,,,,,8248,3954,4294
BA,Bairro,3106200275,Nova Pampulha,,,,,,,,,,,,,350,155,195
BA,Bairro,3106200276,Novo Ouro Preto,,,,,,,,,,,,,502,241,261
BA,Bairro,3106200277,Ouro Preto,,,,,,,,,,,,,17255,8244,9011
BA,Bairro,3106200278,Paquetá,,,,,,,,,,,,,6420,3087,3333
BA,Bairro,3106200279,Santa Rosa,,,,,,,,,,,,,6723,3065,3658
BA,Bairro,3106200280,Santa Terezinha,,,,,,,,,,,,,15792,7429,8363
BA,Bairro,3106200281,São Francisco,,,,,,,,,,,,,4389,2062,2327
BA,Bairro,3106200282,São José,,,,,,,,,,,,,1522,688,834
BA,Bairro,3106200283,São Luiz,,,,,,,,,,,,,4762,2250,2512
BA,Bairro,3106200284,Suzana,,,,,,,,,,,,,1986,951,1035
BA,Bairro,3106200285,Trevo,,,,,,,,,,,,,4311,2141,2170
BA,Bairro,3106200286,Universitário,,,,,,,,,,,,,1995,924,1071
BA,Bairro,3106200287,Urca,,,,,,,,,,,,,4685,2241,2444
BA,Bairro,3106200288,Vila Aeroporto,,,,,,,,,,,,,2092,1037,1055
BA,Bairro,3106200289,Vila Aeroporto Jaraguá,,,,,,,,,,,,,618,278,340
BA,Bairro,3106200290,Vila Engenho Nogueira,,,,,,,,,,,,,263,126,137
BA,Bairro,3106200291,Vila Real 1ª Seção,,,,,,,,,,,,,109,56,53
BA,Bairro,3106200292,Vila Real 2ª Seção,,,,,,,,,,,,,683,342,341
BA,Bairro,3106200294,Túnel de Ibirité,,,,,,,,,,,,,1894,909,985
BA,Bairro,3106200295,Marieta 1ª Seção,,,,,,,,,,,,,1227,602,625
BA,Bairro,3106200296,Marieta 2ª Seção,,,,,,,,,,,,,181,85,96
BA,Bairro,3106200297,Marieta 3ª Seção,,,,,,,,,,,,,96,46,50
BA,Bairro,3106200298,Vila Piratininga,,,,,,,,,,,,,1693,823,870
BA,Bairro,3106200299,Jatobá,,,,,,,,,,,,,3447,1655,1792
BA,Bairro,3106200300,Marilandia,,,,,,,,,,,,,865,417,448
BA,Bairro,3106200301,Vila Batik,,,,,,,,,,,,,192,92,100
BA,Bairro,3106200302,Vila Olhos D'Água,,,,,,,,,,,,,892,430,462
BA,Bairro,3106200303,Vila Pilar,,,,,,,,,,,,,910,437,473
BA,Bairro,3106200304,São João,,,,,,,,,,,,,1686,815,871
BA,Bairro,3106200305,Serra do Curral,,,,,,,,,,,,,344,170,174
BA,Bairro,3106200306,Bonsucesso,,,,,,,,,,,,,6424,3212,3212
BA,Bairro,3106200307,Bernadete,,,,,,,,,,,,,1516,727,789
BA,Bairro,3106200308,Alto das Antenas,,,,,,,,,,,,,384,184,200
BA,Bairro,3106200309,Esperança,,,,,,,,,,,,,2146,1052,1094
BA,Bairro,3106200310,Vila Cemig,,,,,,,,,,,,,5668,2820,2848
BA,Bairro,3106200311,Flavio Marques Lisboa,,,,,,,,,,,,,7861,3690,4171
BA,Bairro,3106200312,Flavio de Oliveira,,,,,,,,,,,,,2872,1370,1502
BA,Bairro,3106200313,Cardoso,,,,,,,,,,,,,10582,5043,5539
BA,Bairro,3106200314,Araguaia,,,,,,,,,,,,,14635,6915,7720
BA,Bairro,3106200315,Milionario,,,,,,,,,,,,,12175,5914,6261
BA,Bairro,3106200316,Vila Nova dos Milionarios,,,,,,,,,,,,,587,277,310
BA,Bairro,3106200317,Vila Copasa,,,,,,,,,,,,,321,154,167
BA,Bairro,3106200318,Conjunto Bonsucesso,,,,,,,,,,,,,1030,512,518
BA,Bairro,3106200319,Novo das Industrias,,,,,,,,,,,,,4614,2205,2409
BA,Bairro,3106200320,Alta Tensão 1ª Seção,,,,,,,,,,,,,397,175,222
BA,Bairro,3106200321,Alta Tensão 2ª Seção,,,,,,,,,,,,,2010,1010,1000
BA,Bairro,3106200322,das Indústrias I,,,,,,,,,,,,,9182,4383,4799
BA,Bairro,3106200323,Pongelupe,,,,,,,,,,,,,2680,1274,1406
BA,Bairro,3106200324,Solar do Barreiro,,,,,,,,,,,,,4385,2083,2302
BA,Bairro,3106200325,Corumbiara,,,,,,,,,,,,,952,468,484
BA,Bairro,3106200326,Vila Ecológica,,,,,,,,,,,,,1704,860,844
BA,Bairro,3106200327,Distrito Industrial do Jatoba,,,,,,,,,,,,,644,324,320
BA,Bairro,3106200328,Aguas Claras,,,,,,,,,,,,,2023,950,1073
BA,Bairro,3106200329,Vitoria da Conquista,,,,,,,,,,,,,1184,575,609
BA,Bairro,3106200330,Vila Independencia 1ª Seção,,,,,,,,,,,,,3023,1422,1601
BA,Bairro,3106200331,Vila Independencia 2ª Seção,,,,,,,,,,,,,980,483,497
BA,Bairro,3106200332,Vila independencia 3ª Seção,,,,,,,,,,,,,368,176,192
BA,Bairro,3106200333,Independência,,,,,,,,,,,,,8334,4071,4263
BA,Bairro,3106200334,Mineirão,,,,,,,,,,,,,4235,2080,2155
BA,Bairro,3106200335,Vila Mangueiras,,,,,,,,,,,,,1903,924,979
BA,Bairro,3106200336,Mangueiras,,,,,,,,,,,,,3467,1669,1798
BA,Bairro,3106200337,Petropolis,,,,,,,,,,,,,2150,1045,1105
BA,Bairro,3106200338,Vila Petropolis,,,,,,,,,,,,,298,156,142
BA,Bairro,3106200339,Santa Rita,,,,,,,,,,,,,2790,1320,1470
BA,Bairro,3106200340,Ernesto Nascimento,,,,,,,,,,,,,2142,1042,1100
BA,Bairro,3106200341,Vale do Jatoba,,,,,,,,,,,,,8047,3812,4235
BA,Bairro,3106200342,Jardim do Vale,,,,,,,,,,,,,1117,533,584
BA,Bairro,3106200343,Conjunto Jatoba,,,,,,,,,,,,,3720,1790,1930
BA,Bairro,3106200344,Novo Santa Cecilia,,,,,,,,,,,,,2355,1174,1181
BA,Bairro,3106200345,Vila Pinho,,,,,,,,,,,,,8225,3910,4315
BA,Bairro,3106200346,Brasil Industrial,,,,,,,,,,,,,7030,3439,3591
BA,Bairro,3106200347,Diamante,,,,,,,,,,,,,11979,5761,6218
BA,Bairro,3106200348,Olaria,,,,,,,,,,,,,5776,2833,2943
BA,Bairro,3106200349,CDI Jatoba,,,,,,,,,,,,,204,128,76
BA,Bairro,3106200350,Santa Cecilia,,,,,,,,,,,,,2917,1452,1465
BA,Bairro,3106200351,Vila Formosa,,,,,,,,,,,,,1444,682,762
BA,Bairro,3106200352,Castanheira,,,,,,,,,,,,,5650,2657,2993
BA,Bairro,3106200353,Miramar,,,,,,,,,,,,,6124,2937,3187
BA,Bairro,3106200354,Santa Helena,,,,,,,,,,,,,5356,2609,2747
BA,Bairro,3106200355,Teixeira Dias,,,,,,,,,,,,,7050,3306,3744
BA,Bairro,3106200356,Barreiro,,,,,,,,,,,,,9243,4358,4885
BA,Bairro,3106200357,Santa Margarida,,,,,,,,,,,,,2311,1082,1229
BA,Bairro,3106200358,Ademar Maldonado,,,,,,,,,,,,,1803,830,973
BA,Bairro,3106200359,Atila de Paiva,,,,,,,,,,,,,1207,589,618
BA,Bairro,3106200360,Vila Atila de Paiva,,,,,,,,,,,,,1582,756,826
BA,Bairro,3106200361,João Paulo II,,,,,,,,,,,,,1792,814,978
BA,Bairro,3106200362,Vila Tirol,,,,,,,,,,,,,208,107,101
BA,Bairro,3106200363,Tirol,,,,,,,,,,,,,11372,5558,5814
BA,Bairro,3106200364,Lindéia,,,,,,,,,,,,,24146,11648,12498
BA,Bairro,3106200365,Serra Verde,,,,,,,,,,,,,14005,6543,7462
BA,Bairro,3106200366,Varzea da Palma,,,,,,,,,,,,,125,54,71
BA,Bairro,3106200367,Venda Nova,,,,,,,,,,,,,2684,1245,1439
BA,Bairro,3106200368,Vila Canto do Sabiá,,,,,,,,,,,,,173,86,87
BA,Bairro,3106200369,Vila Copacabana,,,,,,,,,,,,,1348,665,683
BA,Bairro,3106200370,Vila dos Anjos,,,,,,,,,,,,,808,376,432
BA,Bairro,3106200371,Vila Satélite,,,,,,,,,,,,,128,59,69
BA,Bairro,3106200372,Vila São João Batista,,,,,,,,,,,,,2486,1217,1269
BA,Bairro,3106200373,Vila Piratininga Venda Nova,,,,,,,,,,,,,366,181,185
BA,Bairro,3106200374,São Marcos,,,,,,,,,,,,,6925,3258,3667
BA,Bairro,3106200375,Ipe,,,,,,,,,,,,,4687,2212,2475
BA,Bairro,3106200376,Goiania,,,,,,,,,,,,,16229,7726,8503
BA,Bairro,3106200377,Morro dos Macacos,,,,,,,,,,,,,340,154,186
BA,Bairro,3106200378,São Benedito,,,,,,,,,,,,,1597,776,821
BA,Bairro,3106200380,Vila da Luz,,,,,,,,,,,,,1491,749,742
BA,Bairro,3106200381,Maria Goretti,,,,,,,,,,,,,8501,4045,4456
BA,Bairro,3106200382,Pirajá,,,,,,,,,,,,,3231,1502,1729
BA,Bairro,3106200383,Eymard,,,,,,,,,,,,,3947,1853,2094
BA,Bairro,3106200384,Vitoria,,,,,,,,,,,,,3435,1726,1709
BA,Bairro,3106200385,Pousada Santo Antonio,,,,,,,,,,,,,1629,787,842
BA,Bairro,3106200386,Bela Vitoria,,,,,,,,,,,,,664,317,347
BA,Bairro,3106200387,Jardim Vitoria,,,,,,,,,,,,,9534,4694,4840
BA,Bairro,3106200388,Vila Maria,,,,,,,,,,,,,5308,2567,2741
BA,Bairro,3106200389,Mirtes,,,,,,,,,,,,,346,177,169
BA,Bairro,3106200390,São Gabriel,,,,,,,,,,,,,13726,6424,7302
BA,Bairro,3106200391,Vila São Gabriel Jacui,,,,,,,,,,,,,699,336,363
BA,Bairro,3106200392,Vila São Dimas,,,,,,,,,,,,,194,86,108
BA,Bairro,3106200393,Vila Esplanada,,,,,,,,,,,,,990,492,498
BA,Bairro,3106200394,Vila São Gabriel,,,,,,,,,,,,,420,203,217
BA,Bairro,3106200395,Dom Silverio,,,,,,,,,,,,,4195,1984,2211
BA,Bairro,3106200396,Boa Esperança,,,,,,,,,,,,,546,269,277
BA,Bairro,3106200397,Tres Marias,,,,,,,,,,,,,587,285,302
BA,Bairro,3106200398,Ouro Minas,,,,,,,,,,,,,4143,2011,2132
BA,Bairro,3106200399,Vila Ouro Minas,,,,,,,,,,,,,588,303,285
BA,Bairro,3106200400,Belmonte,,,,,,,,,,,,,2236,1092,1144
BA,Bairro,3106200401,Nazare,,,,,,,,,,,,,8182,3942,4240
BA,Bairro,3106200402,Vista do Sol,,,,,,,,,,,,,5121,2569,2552
BA,Bairro,3106200403,Grotinha,,,,,,,,,,,,,447,245,202
BA,Bairro,3106200404,Acaiaca,,,,,,,,,,,,,2565,1237,1328
BA,Bairro,3106200405,Paulo VI,,,,,,,,,,,,,6205,3008,3197
BA,Bairro,3106200406,Beira Linha,,,,,,,,,,,,,4132,1998,2134
BA,Bairro,3106200407,Ribeiro de Abreu,,,,,,,,,,,,,16020,7671,8349
BA,Bairro,3106200408,Antonio Ribeiro de Abreu 1ª Seção,,,,,,,,,,,,,484,237,247
BA,Bairro,3106200411,Capitão Eduardo,,,,,,,,,,,,,1256,667,589
BA,Bairro,3106200412,Conjunto Paulo VI,,,,,,,,,,,,,3228,1519,1709
BA,Bairro,3106200413,Conjunto Capitão Eduardo,,,,,,,,,,,,,2781,1365,1416
BA,Bairro,3106200414,Beija Flor,,,,,,,,,,,,,1258,608,650
BA,Bairro,3106200415,Itapoa,,,,,,,,,,,,,9476,4357,5119
BA,Bairro,3106200416,Santa Amelia,,,,,,,,,,,,,18188,8623,9565
BA,Bairro,3106200417,Santa Branca,,,,,,,,,,,,,5355,2479,2876
BA,Bairro,3106200418,Santa Monica,,,,,,,,,,,,,23883,11163,12720
BA,Bairro,3106200419,São Tomaz,,,,,,,,,,,,,7415,3529,3886
BA,Bairro,3106200420,Unidas,,,,,,,,,,,,,367,195,172
BA,Bairro,3106200421,Universo,,,,,,,,,,,,,2833,1399,1434
BA,Bairro,3106200422,Aarão Reis,,,,,,,,,,,,,2962,1405,1557
BA,Bairro,3106200423,Bacurau,,,,,,,,,,,,,104,54,50
BA,Bairro,3106200424,Biquinhas,,,,,,,,,,,,,1671,797,874
BA,Bairro,3106200425,Boa União 1ª Seção,,,,,,,,,,,,,309,152,157
BA,Bairro,3106200426,Boa União 2ª seção,,,,,,,,,,,,,177,72,105
BA,Bairro,3106200427,Campo Alegre,,,,,,,,,,,,,2776,1276,1500
BA,Bairro,3106200428,Canaa,,,,,,,,,,,,,2614,1309,1305
BA,Bairro,3106200429,Conjunto Floramar,,,,,,,,,,,,,916,425,491
BA,Bairro,3106200430,Conjunto Providencia,,,,,,,,,,,,,283,130,153
BA,Bairro,3106200431,Etelvina Carneiro,,,,,,,,,,,,,2331,1156,1175
BA,Bairro,3106200432,Floramar,,,,,,,,,,,,,9775,4543,5232
BA,Bairro,3106200433,Frei Leopoldo,,,,,,,,,,,,,1995,962,1033
BA,Bairro,3106200434,Granja Werneck,,,,,,,,,,,,,2068,1002,1066
BA,Bairro,3106200435,Guarani,,,,,,,,,,,,,7718,3595,4123
BA,Bairro,3106200436,Heliopolis,,,,,,,,,,,,,6675,3139,3536
BA,Bairro,3106200437,Jaqueline,,,,,,,,,,,,,16195,7704,8491
BA,Bairro,3106200438,Jardim Felicidade,,,,,,,,,,,,,15486,7366,8120
BA,Bairro,3106200439,Jardim Guanabara,,,,,,,,,,,,,11635,5526,6109
BA,Bairro,3106200440,Juliana,,,,,,,,,,,,,5892,2812,3080
BA,Bairro,3106200441,Lajedo,,,,,,,,,,,,,4862,2372,2490
BA,Bairro,3106200442,Madri,,,,,,,,,,,,,939,458,481
BA,Bairro,3106200443,Maria Tereza,,,,,,,,,,,,,373,185,188
BA,Bairro,3106200444,Mariquinhas,,,,,,,,,,,,,2147,997,1150
BA,Bairro,3106200445,Minaslandia,,,,,,,,,,,,,6490,3092,3398
BA,Bairro,3106200446,Mirante,,,,,,,,,,,,,565,273,292
BA,Bairro,3106200447,Monte Azul,,,,,,,,,,,,,3494,1725,1769
BA,Bairro,3106200448,Novo Aarão Reis,,,,,,,,,,,,,8287,4097,4190
BA,Bairro,3106200449,Novo Tupi,,,,,,,,,,,,,3048,1458,1590
BA,Bairro,3106200450,Planalto,,,,,,,,,,,,,16814,7951,8863
BA,Bairro,3106200451,Primeiro de Maio,,,,,,,,,,,,,2421,1137,1284
BA,Bairro,3106200452,Providencia,,,,,,,,,,,,,7970,3779,4191
BA,Bairro,3106200453,Vila SESC,,,,,,,,,,,,,343,177,166
BA,Bairro,3106200454,São Bernardo,,,,,,,,,,,,,9092,4263,4829
BA,Bairro,3106200455,São Damião,,,,,,,,,,,,,320,161,159
BA,Bairro,3106200456,São Gonçalo,,,,,,,,,,,,,2598,1200,1398
BA,Bairro,3106200457,Vila Jardim Leblon,,,,,,,,,,,,,225,105,120
BA,Bairro,3106200458,Satelite,,,,,,,,,,,,,482,221,261
BA,Bairro,3106200459,Solimoes,,,,,,,,,,,,,1519,743,776
BA,Bairro,3106200460,Tupi A,,,,,,,,,,,,,10668,5071,5597
BA,Bairro,3106200461,Tupi B,,,,,,,,,,,,,13527,6549,6978
BA,Bairro,3106200462,Vila Cloris,,,,,,,,,,,,,7157,3360,3797
BA,Bairro,3106200463,Vila Minaslandia,,,,,,,,,,,,,856,421,435
BA,Bairro,3106200464,Vila Nova,,,,,,,,,,,,,591,286,305
BA,Bairro,3106200465,Vila Primeiro de Maio,,,,,,,,,,,,,4025,1913,2112
BA,Bairro,3106200466,Xodo-Marize,,,,,,,,,,,,,1499,721,778
BA,Bairro,3106200467,Zilah Sposito,,,,,,,,,,,,,2638,1249,1389
BA,Bairro,3106200468,Apolonia,,,,,,,,,,,,,6568,3177,3391
BA,Bairro,3106200469,Candelaria,,,,,,,,,,,,,7495,3492,4003
BA,Bairro,3106200470,Cenaculo,,,,,,,,,,,,,2299,1074,1225
BA,Bairro,3106200471,Conjunto Minas Caixa,,,,,,,,,,,,,4421,2139,2282
BA,Bairro,3106200472,Conjunto Serra Verde,,,,,,,,,,,,,240,112,128
BA,Bairro,3106200473,Vila Mantiqueira,,,,,,,,,,,,,711,340,371
BA,Bairro,3106200474,Europa,,,,,,,,,,,,,10065,4808,5257
BA,Bairro,3106200475,Flamengo,,,,,,,,,,,,,328,143,185
BA,Bairro,3106200476,Jardim dos Comerciarios,,,,,,,,,,,,,21238,10364,10874
BA,Bairro,3106200477,Jardim Leblon,,,,,,,,,,,,,9460,4483,4977
BA,Bairro,3106200478,Lagoa,,,,,,,,,,,,,9127,4322,4805
BA,Bairro,3106200479,Lagoinha Leblon,,,,,,,,,,,,,5973,2862,3111
BA,Bairro,3106200480,Laranjeiras,,,,,,,,,,,,,163,74,89
BA,Bairro,3106200481,Leticia,,,,,,,,,,,,,7715,3717,3998
BA,Bairro,3106200482,Mantiqueira,,,,,,,,,,,,,20282,9708,10574
BA,Bairro,3106200483,Maria Helena,,,,,,,,,,,,,7683,3678,4005
BA,Bairro,3106200484,Minas Caixa,,,,,,,,,,,,,10592,4949,5643
BA,Bairro,3106200485,São João Batista,,,,,,,,,,,,,16503,7828,8675
BA,Bairro,3106200486,Nova America,,,,,,,,,,,,,99,47,52
BA,Bairro,3106200487,Parque São Pedro,,,,,,,,,,,,,2313,1109,1204
BA,Bairro,3106200488,Piratininga,,,,,,,,,,,,,21149,10043,11106
BA,Bairro,3106200489,Rio Branco,,,,,,,,,,,,,12768,6043,6725
BA,Bairro,3106200490,Vila Santa Monica 1ª Seção,,,,,,,,,,,,,1789,836,953
BA,Bairro,3106200491,Vila Santa Monica 2ª Seção,,,,,,,,,,,,,343,169,174
BA,Bairro,3106200492,Itaipu,,,,,,,,,,,,,8676,4171,4505
BA,Bairro,3106200493,Nossa Senhora Aparecida,,,,,,,,,,,,,1603,766,837
