regional_fk,regional_desc,regional_sigla,ano,contagem_habitantes,area_km2,taxa_mortalidade,taxa_severidade,total_sinistros,com_vitimas_nao_fatais,com_vitimas_fatais,abalroamentos,atropelamento_de_animal_com_vitima,atropelamento_fatal,atropelamento_nao_fatal,capotamento_com_vitima,capotamento_sem_vitima,choque_mecanico,colisao_de_veiculos,outros_com_vitima,queda_de_pessoa_de_veiculo,queda_de_veiculo,vazamento_de_carga_veiculo
19,Centro Sul,CS,2011,20422,31.7,117.5203212222,7.0505287897,3404,3380,24,1249,8,16,793,77,0,449,409,183,192,28,0
19,Centro Sul,CS,2011,293188,31.7,8.1858739103,7.0505287897,3404,3380,24,1249,8,16,793,77,0,449,409,183,192,28,0
19,Centro Sul,CS,2012,40174,31.7,72.1859909394,9.2829705506,3124,3095,29,1149,1,13,701,70,0,464,282,112,272,58,2
19,Centro Sul,CS,2012,313407,31.7,9.2531436758,9.2829705506,3124,3095,29,1149,1,13,701,70,0,464,282,112,272,58,2
19,Centro Sul,CS,2013,202511,31.7,9.3822063987,6.6248256625,2868,2849,19,1134,3,9,649,111,0,423,190,52,292,3,2
19,Centro Sul,CS,2013,479578,31.7,3.9618164303,6.6248256625,2868,2849,19,1134,3,9,649,111,0,423,190,52,292,3,2
19,Centro Sul,CS,2014,225766,31.7,9.3016663271,7.0422535211,2982,2961,21,1041,8,10,653,128,0,380,394,74,288,6,0
19,Centro Sul,CS,2014,503381,31.7,4.1717903536,7.0422535211,2982,2961,21,1041,8,10,653,128,0,380,394,74,288,6,0
19,Centro Sul,CS,2015,248055,31.7,5.6439096168,5.5139818826,2539,2525,14,918,2,5,547,125,0,227,396,120,194,5,0
19,Centro Sul,CS,2015,526197,31.7,2.6606004975,5.5139818826,2539,2525,14,918,2,5,547,125,0,227,396,120,194,5,0
19,Centro Sul,CS,2016,269265,31.7,6.684864353,8.4427767355,2132,2114,18,825,0,7,442,103,0,249,310,35,156,5,0
19,Centro Sul,CS,2016,547908,31.7,3.2852230666,8.4427767355,2132,2114,18,825,0,7,442,103,0,249,310,35,156,5,0
19,Centro Sul,CS,2017,289402,31.7,4.146481365,5.5865921788,2148,2136,12,831,1,6,441,106,0,290,281,44,139,9,0
19,Centro Sul,CS,2017,568521,31.7,2.1107399727,5.5865921788,2148,2136,12,831,1,6,441,106,0,290,281,44,139,9,0
19,Centro Sul,CS,2018,246145,31.7,5.2814398017,6.5756196257,1977,1964,13,810,3,6,404,107,0,309,228,32,76,1,1
19,Centro Sul,CS,2018,524242,31.7,2.4797707929,6.5756196257,1977,1964,13,810,3,6,404,107,0,309,228,32,76,1,1
19,Centro Sul,CS,2019,266576,31.7,2.6258928036,2.9686174724,2358,2351,7,1014,1,3,430,110,0,378,288,35,97,1,1
19,Centro Sul,CS,2019,545155,31.7,1.2840384845,2.9686174724,2358,2351,7,1014,1,3,430,110,0,378,288,35,97,1,1
19,Centro Sul,CS,2020,285060,31.7,5.963656774,10.4679802956,1624,1607,17,722,1,10,252,77,0,290,178,19,75,0,0
19,Centro Sul,CS,2020,564076,31.7,3.0137782852,10.4679802956,1624,1607,17,722,1,10,252,77,0,290,178,19,75,0,0
19,Centro Sul,CS,2021,302850,31.7,2.9717682021,5.4479418886,1652,1643,9,755,1,6,232,77,0,342,174,17,48,0,0
19,Centro Sul,CS,2021,582286,31.7,1.5456322151,5.4479418886,1652,1643,9,755,1,6,232,77,0,342,174,17,48,0,0
20,Leste     ,LE,2011,19124,27.9,57.5193474169,8.2582582583,1332,1321,11,564,1,5,268,44,0,130,182,60,56,22,0
20,Leste     ,LE,2011,268410,27.9,4.0982079654,8.2582582583,1332,1321,11,564,1,5,268,44,0,130,182,60,56,22,0
20,Leste     ,LE,2012,37620,27.9,47.8468899522,13.6157337368,1322,1304,18,549,2,9,245,46,0,207,138,35,64,27,0
20,Leste     ,LE,2012,286919,27.9,6.2735475866,13.6157337368,1322,1304,18,549,2,9,245,46,0,207,138,35,64,27,0
20,Leste     ,LE,2013,189638,27.9,7.9098071062,12.6156433978,1189,1174,15,543,3,9,195,70,0,183,116,17,48,5,0
20,Leste     ,LE,2013,439047,27.9,3.4164907174,12.6156433978,1189,1174,15,543,3,9,195,70,0,183,116,17,48,5,0
20,Leste     ,LE,2014,211415,27.9,5.2030366814,8.2520630158,1333,1322,11,533,5,3,223,89,0,151,220,27,79,3,0
20,Leste     ,LE,2014,460838,27.9,2.3869559368,8.2520630158,1333,1322,11,533,5,3,223,89,0,151,220,27,79,3,0
20,Leste     ,LE,2015,232286,27.9,5.5965490817,11.7117117117,1110,1097,13,459,2,1,157,87,0,111,200,50,39,4,0
20,Leste     ,LE,2015,481725,27.9,2.6986351134,11.7117117117,1110,1097,13,459,2,1,157,87,0,111,200,50,39,4,0
20,Leste     ,LE,2016,252148,27.9,2.3795548646,6.1099796334,982,976,6,438,2,2,124,72,0,112,175,16,39,2,0
20,Leste     ,LE,2016,501602,27.9,1.1961674794,6.1099796334,982,976,6,438,2,2,124,72,0,112,175,16,39,2,0
20,Leste     ,LE,2017,271006,27.9,2.2139731224,5.7581573896,1042,1036,6,513,8,1,115,87,0,113,148,14,32,10,1
20,Leste     ,LE,2017,520472,27.9,1.1527997664,5.7581573896,1042,1036,6,513,8,1,115,87,0,113,148,14,32,10,1
20,Leste     ,LE,2018,230498,27.9,3.0369027063,7.4388947928,941,934,7,475,3,3,90,78,0,117,132,10,30,3,0
20,Leste     ,LE,2018,479936,27.9,1.4585278037,7.4388947928,941,934,7,475,3,3,90,78,0,117,132,10,30,3,0
20,Leste     ,LE,2019,249631,27.9,1.2017738182,2.808988764,1068,1065,3,514,8,2,109,82,0,160,142,15,35,0,1
20,Leste     ,LE,2019,499082,27.9,0.6011036263,2.808988764,1068,1065,3,514,8,2,109,82,0,160,142,15,35,0,1
20,Leste     ,LE,2020,266940,27.9,1.4984640743,4.7337278107,845,841,4,428,3,1,76,66,0,151,86,5,28,1,0
20,Leste     ,LE,2020,516404,27.9,0.7745873386,4.7337278107,845,841,4,428,3,1,76,66,0,151,86,5,28,1,0
20,Leste     ,LE,2021,283598,27.9,2.1156707734,7.0093457944,856,850,6,405,2,2,63,65,0,164,123,8,23,1,0
20,Leste     ,LE,2021,533074,27.9,1.1255472974,7.0093457944,856,850,6,405,2,2,63,65,0,164,123,8,23,1,0
21,Nordeste  ,NE,2011,10597,39.3,292.5356232896,16.8386746334,1841,1810,31,667,7,8,310,75,0,233,334,89,75,43,0
21,Nordeste  ,NE,2011,154486,39.3,20.0665432466,16.8386746334,1841,1810,31,667,7,8,310,75,0,233,334,89,75,43,0
21,Nordeste  ,NE,2012,20845,39.3,134.3247781243,15.9271899886,1758,1730,28,692,3,11,279,78,0,288,231,61,67,48,0
21,Nordeste  ,NE,2012,165140,39.3,16.9553106455,15.9271899886,1758,1730,28,692,3,11,279,78,0,288,231,61,67,48,0
21,Nordeste  ,NE,2013,105077,39.3,34.2605898532,21.9111381619,1643,1607,36,657,7,17,221,122,0,252,247,24,86,10,0
21,Nordeste  ,NE,2013,252698,39.3,14.2462544223,21.9111381619,1643,1607,36,657,7,17,221,122,0,252,247,24,86,10,0
21,Nordeste  ,NE,2014,117143,39.3,20.487779893,14.3198090692,1676,1652,24,637,5,15,217,121,0,229,310,44,96,2,0
21,Nordeste  ,NE,2014,265241,39.3,9.0483748742,14.3198090692,1676,1652,24,637,5,15,217,121,0,229,310,44,96,2,0
21,Nordeste  ,NE,2015,128708,39.3,13.208192187,11.1842105263,1520,1503,17,582,6,7,206,127,0,154,294,88,49,5,2
21,Nordeste  ,NE,2015,277262,39.3,6.1313847552,11.1842105263,1520,1503,17,582,6,7,206,127,0,154,294,88,49,5,2
21,Nordeste  ,NE,2016,139714,39.3,7.1574788496,8.3612040134,1196,1186,10,466,5,4,156,109,0,157,225,23,46,3,2
21,Nordeste  ,NE,2016,288702,39.3,3.4637792603,8.3612040134,1196,1186,10,466,5,4,156,109,0,157,225,23,46,3,2
21,Nordeste  ,NE,2017,150162,39.3,11.9870539817,13.9211136891,1293,1275,18,566,5,10,147,107,0,186,221,22,20,9,0
21,Nordeste  ,NE,2017,299564,39.3,6.0087326915,13.9211136891,1293,1275,18,566,5,10,147,107,0,186,221,22,20,9,0
21,Nordeste  ,NE,2018,127717,39.3,13.3106790795,13.0769230769,1300,1283,17,512,5,9,141,127,0,236,235,13,21,1,0
21,Nordeste  ,NE,2018,276232,39.3,6.1542471546,13.0769230769,1300,1283,17,512,5,9,141,127,0,236,235,13,21,1,0
21,Nordeste  ,NE,2019,138319,39.3,10.8444971407,10.5263157895,1425,1410,15,580,8,7,147,137,1,237,249,20,36,3,0
21,Nordeste  ,NE,2019,287252,39.3,5.221895757,10.5263157895,1425,1410,15,580,8,7,147,137,1,237,249,20,36,3,0
21,Nordeste  ,NE,2020,147910,39.3,8.1130417146,12.1951219512,984,972,12,390,10,6,108,73,0,177,168,10,40,2,0
21,Nordeste  ,NE,2020,297222,39.3,4.0373861962,12.1951219512,984,972,12,390,10,6,108,73,0,177,168,10,40,2,0
21,Nordeste  ,NE,2021,157140,39.3,12.7275041364,17.0648464164,1172,1152,20,483,8,10,131,98,0,227,170,13,25,6,1
21,Nordeste  ,NE,2021,306817,39.3,6.518543627,17.0648464164,1172,1152,20,483,8,10,131,98,0,227,170,13,25,6,1
22,Noroeste  ,NO,2011,25900,30.1,150.5791505792,15.0579150579,2590,2551,39,1048,7,13,339,106,0,428,425,99,80,44,1
22,Noroeste  ,NO,2011,356801,30.1,10.9304626388,15.0579150579,2590,2551,39,1048,7,13,339,106,0,428,425,99,80,44,1
22,Noroeste  ,NO,2012,50949,30.1,66.7334000667,14.9779735683,2270,2236,34,1005,4,14,285,89,0,401,287,61,71,51,2
22,Noroeste  ,NO,2012,381406,30.1,8.9143851958,14.9779735683,2270,2236,34,1005,4,14,285,89,0,401,287,61,71,51,2
22,Noroeste  ,NO,2013,256829,30.1,10.9021956243,13.0475302889,2146,2118,28,976,9,12,260,114,0,352,271,31,97,23,1
22,Noroeste  ,NO,2013,583631,30.1,4.7975518778,13.0475302889,2146,2118,28,976,9,12,260,114,0,352,271,31,97,23,1
22,Noroeste  ,NO,2014,286321,30.1,13.9703339958,16.9707254985,2357,2317,40,958,5,12,271,164,0,361,444,41,92,6,3
22,Noroeste  ,NO,2014,612599,30.1,6.5295568553,16.9707254985,2357,2317,40,958,5,12,271,164,0,361,444,41,92,6,3
22,Noroeste  ,NO,2015,314588,30.1,10.8077866924,15.9699389385,2129,2095,34,848,10,10,238,154,0,265,461,73,62,8,0
22,Noroeste  ,NO,2015,640364,30.1,5.3094802331,15.9699389385,2129,2095,34,848,10,10,238,154,0,265,461,73,62,8,0
22,Noroeste  ,NO,2016,341487,30.1,5.8567383239,12.5786163522,1590,1570,20,656,7,9,160,135,0,217,335,11,51,7,2
22,Noroeste  ,NO,2016,666786,30.1,2.9994630961,12.5786163522,1590,1570,20,656,7,9,160,135,0,217,335,11,51,7,2
22,Noroeste  ,NO,2017,367026,30.1,2.1796820934,5.0377833753,1588,1580,8,683,8,3,186,122,0,244,274,22,38,8,0
22,Noroeste  ,NO,2017,691871,30.1,1.1562849144,5.0377833753,1588,1580,8,683,8,3,186,122,0,244,274,22,38,8,0
22,Noroeste  ,NO,2018,312166,30.1,4.1644509652,9.6367679763,1349,1336,13,656,4,7,139,102,0,194,213,7,26,1,0
22,Noroeste  ,NO,2018,637985,30.1,2.0376654624,9.6367679763,1349,1336,13,656,4,7,139,102,0,194,213,7,26,1,0
22,Noroeste  ,NO,2019,338077,30.1,5.0284402666,10.4679802956,1624,1607,17,697,5,9,155,123,0,315,266,12,41,1,0
22,Noroeste  ,NO,2019,663437,30.1,2.5624136127,10.4679802956,1624,1607,17,697,5,9,155,123,0,315,266,12,41,1,0
22,Noroeste  ,NO,2020,361520,30.1,4.9789776499,14.987510408,1201,1183,18,543,6,6,110,110,0,217,168,12,29,0,0
22,Noroeste  ,NO,2020,686463,30.1,2.6221369542,14.987510408,1201,1183,18,543,6,6,110,110,0,217,168,12,29,0,0
22,Noroeste  ,NO,2021,384081,30.1,4.686511439,15.7068062827,1146,1128,18,561,3,4,110,73,0,194,160,12,28,0,1
22,Noroeste  ,NO,2021,708623,30.1,2.5401377037,15.7068062827,1146,1128,18,561,3,4,110,73,0,194,160,12,28,0,1
24,Oeste     ,OE,2011,20521,35.9,87.7150236343,12.2950819672,1464,1446,18,586,5,10,233,47,0,198,265,50,48,22,0
24,Oeste     ,OE,2011,307015,35.9,5.8629057212,12.2950819672,1464,1446,18,586,5,10,233,47,0,198,265,50,48,22,0
24,Oeste     ,OE,2012,40368,35.9,29.7265160523,9.0840272521,1321,1309,12,557,0,6,185,41,0,253,158,31,49,41,0
24,Oeste     ,OE,2012,328187,35.9,3.6564519618,9.0840272521,1321,1309,12,557,0,6,185,41,0,253,158,31,49,41,0
24,Oeste     ,OE,2013,203490,35.9,4.9142464003,7.5987841945,1316,1306,10,562,3,3,219,74,0,223,146,17,60,7,2
24,Oeste     ,OE,2013,502195,35.9,1.9912583757,7.5987841945,1316,1306,10,562,3,3,219,74,0,223,146,17,60,7,2
24,Oeste     ,OE,2014,226857,35.9,6.6120948439,11.0864745011,1353,1338,15,561,1,6,185,91,0,193,217,18,74,6,1
24,Oeste     ,OE,2014,527121,35.9,2.8456464455,11.0864745011,1353,1338,15,561,1,6,185,91,0,193,217,18,74,6,1
24,Oeste     ,OE,2015,249254,35.9,3.2095773789,7.1237756011,1123,1115,8,443,6,3,157,89,0,134,185,44,56,5,1
24,Oeste     ,OE,2015,551012,35.9,1.4518740064,7.1237756011,1123,1115,8,443,6,3,157,89,0,134,185,44,56,5,1
24,Oeste     ,OE,2016,270566,35.9,5.5439338276,10.2669404517,1461,1446,15,553,8,5,161,133,0,228,284,22,59,6,2
24,Oeste     ,OE,2016,573747,35.9,2.614392755,10.2669404517,1461,1446,15,553,8,5,161,133,0,228,284,22,59,6,2
24,Oeste     ,OE,2017,290801,35.9,4.126533265,8.7336244541,1374,1362,12,613,3,3,136,117,0,217,216,26,33,9,1
24,Oeste     ,OE,2017,595332,35.9,2.015682006,8.7336244541,1374,1362,12,613,3,3,136,117,0,217,216,26,33,9,1
24,Oeste     ,OE,2018,247335,35.9,6.06464916,11.1856823266,1341,1326,15,582,7,4,139,126,0,241,202,7,30,3,0
24,Oeste     ,OE,2018,548965,35.9,2.7324146348,11.1856823266,1341,1326,15,582,7,4,139,126,0,241,202,7,30,3,0
24,Oeste     ,OE,2019,267865,35.9,2.9865790603,5.3511705686,1495,1487,8,664,5,5,153,115,0,274,208,22,46,1,2
24,Oeste     ,OE,2019,570865,35.9,1.4013821131,5.3511705686,1495,1487,8,664,5,5,153,115,0,274,208,22,46,1,2
24,Oeste     ,OE,2020,286438,35.9,3.8402725895,9.0016366612,1222,1211,11,563,2,2,79,81,0,253,199,8,32,3,0
24,Oeste     ,OE,2020,590678,35.9,1.8622667511,9.0016366612,1222,1211,11,563,2,2,79,81,0,253,199,8,32,3,0
24,Oeste     ,OE,2021,304314,35.9,5.257727216,12.0937263794,1323,1307,16,543,7,4,122,108,0,278,209,9,38,3,2
24,Oeste     ,OE,2021,609747,35.9,2.6240391507,12.0937263794,1323,1307,16,543,7,4,122,108,0,278,209,9,38,3,2
25,Pampulha  ,PA,2011,8531,51,222.7171492205,11.3027959548,1681,1662,19,766,3,4,186,76,0,198,318,43,54,33,0
25,Pampulha  ,PA,2011,159760,51,11.8928392589,11.3027959548,1681,1662,19,766,3,4,186,76,0,198,318,43,54,33,0
25,Pampulha  ,PA,2012,16782,51,83.4227148135,8.111239861,1726,1712,14,764,5,8,215,74,0,243,250,46,61,59,1
25,Pampulha  ,PA,2012,170777,51,8.1978252341,8.111239861,1726,1712,14,764,5,8,215,74,0,243,250,46,61,59,1
25,Pampulha  ,PA,2013,84593,51,21.2783563652,11.673151751,1542,1524,18,753,6,4,145,84,0,255,193,20,65,16,1
25,Pampulha  ,PA,2013,261325,51,6.8879747441,11.673151751,1542,1524,18,753,6,4,145,84,0,255,193,20,65,16,1
25,Pampulha  ,PA,2014,94306,51,25.4490700486,14.201183432,1690,1666,24,753,7,9,169,132,0,207,318,27,60,8,0
25,Pampulha  ,PA,2014,274296,51,8.7496718873,14.201183432,1690,1666,24,753,7,9,169,132,0,207,318,27,60,8,0
25,Pampulha  ,PA,2015,103617,51,15.4414816102,11.5523465704,1385,1369,16,656,8,2,115,95,0,147,262,45,48,7,0
25,Pampulha  ,PA,2015,286728,51,5.5802014453,11.5523465704,1385,1369,16,656,8,2,115,95,0,147,262,45,48,7,0
25,Pampulha  ,PA,2016,112477,51,15.1142011256,11.2508272667,1511,1494,17,734,6,3,130,112,0,194,269,19,37,6,1
25,Pampulha  ,PA,2016,298558,51,5.6940359997,11.2508272667,1511,1494,17,734,6,3,130,112,0,194,269,19,37,6,1
25,Pampulha  ,PA,2017,120888,51,13.2353914367,10.6809078772,1498,1482,16,724,5,7,135,110,0,201,262,22,28,4,0
25,Pampulha  ,PA,2017,309791,51,5.1647723788,10.6809078772,1498,1482,16,724,5,7,135,110,0,201,262,22,28,4,0
25,Pampulha  ,PA,2018,102819,51,14.5887433256,9.8360655738,1525,1510,15,692,5,5,131,131,0,261,258,18,21,2,1
25,Pampulha  ,PA,2018,285663,51,5.2509425442,9.8360655738,1525,1510,15,692,5,5,131,131,0,261,258,18,21,2,1
25,Pampulha  ,PA,2019,111354,51,9.8784058049,6.5243179122,1686,1675,11,836,3,2,137,117,0,282,271,15,20,2,1
25,Pampulha  ,PA,2019,297059,51,3.7029680972,6.5243179122,1686,1675,11,836,3,2,137,117,0,282,271,15,20,2,1
25,Pampulha  ,PA,2020,119075,51,9.2378752887,8.0586080586,1365,1354,11,677,4,4,80,93,0,266,202,8,29,2,0
25,Pampulha  ,PA,2020,307369,51,3.5787603825,8.0586080586,1365,1354,11,677,4,4,80,93,0,266,202,8,29,2,0
25,Pampulha  ,PA,2021,126506,51,13.4380977977,10.353227771,1642,1625,17,772,4,4,97,129,0,310,276,20,29,1,0
25,Pampulha  ,PA,2021,317291,51,5.3578576134,10.353227771,1642,1625,17,772,4,4,97,129,0,310,276,20,29,1,0
26,Venda Nova,VN,2011,230,29.2,3478.2608695652,7.9129574679,1011,1003,8,401,2,3,162,48,0,102,184,58,34,17,0
26,Venda Nova,VN,2011,3663,29.2,218.4002184002,7.9129574679,1011,1003,8,401,2,3,162,48,0,102,184,58,34,17,0
26,Venda Nova,VN,2012,453,29.2,1766.004415011,8.4656084656,945,937,8,418,6,3,142,34,0,118,141,30,26,27,0
26,Venda Nova,VN,2012,3915,29.2,204.3422733078,8.4656084656,945,937,8,418,6,3,142,34,0,118,141,30,26,27,0
26,Venda Nova,VN,2013,2279,29.2,307.1522597631,8.2256169213,851,844,7,424,2,2,121,46,0,94,103,18,35,6,0
26,Venda Nova,VN,2013,5991,29.2,116.841929561,8.2256169213,851,844,7,424,2,2,121,46,0,94,103,18,35,6,0
26,Venda Nova,VN,2014,2541,29.2,393.5458480913,9.99000999,1001,991,10,463,7,2,120,74,0,102,176,10,45,1,1
26,Venda Nova,VN,2014,6289,29.2,159.0077913818,9.99000999,1001,991,10,463,7,2,120,74,0,102,176,10,45,1,1
26,Venda Nova,VN,2015,2792,29.2,250.7163323782,7.9635949943,879,872,7,360,12,4,111,76,0,75,170,42,26,2,1
26,Venda Nova,VN,2015,6574,29.2,106.4800730149,7.9635949943,879,872,7,360,12,4,111,76,0,75,170,42,26,2,1
26,Venda Nova,VN,2016,3030,29.2,396.0396039604,11.5384615385,1040,1028,12,460,5,1,149,78,0,115,158,19,49,3,3
26,Venda Nova,VN,2016,6845,29.2,175.3104455807,11.5384615385,1040,1028,12,460,5,1,149,78,0,115,158,19,49,3,3
26,Venda Nova,VN,2017,3257,29.2,399.1403131716,12.3927550048,1049,1036,13,510,4,3,128,76,0,127,142,18,32,7,2
26,Venda Nova,VN,2017,7103,29.2,183.0212586231,12.3927550048,1049,1036,13,510,4,3,128,76,0,127,142,18,32,7,2
26,Venda Nova,VN,2018,2770,29.2,252.7075812274,6.993006993,1001,994,7,479,5,2,110,81,0,125,155,14,27,3,0
26,Venda Nova,VN,2018,6550,29.2,106.8702290076,6.993006993,1001,994,7,479,5,2,110,81,0,125,155,14,27,3,0
26,Venda Nova,VN,2019,3000,29.2,233.3333333333,6.2949640288,1112,1105,7,528,5,1,125,77,0,157,160,22,36,1,0
26,Venda Nova,VN,2019,6811,29.2,102.7749229188,6.2949640288,1112,1105,7,528,5,1,125,77,0,157,160,22,36,1,0
26,Venda Nova,VN,2020,3208,29.2,311.7206982544,10.649627263,939,929,10,434,4,2,87,64,0,153,154,8,33,0,0
26,Venda Nova,VN,2020,7047,29.2,141.9043564637,10.649627263,939,929,10,434,4,2,87,64,0,153,154,8,33,0,0
26,Venda Nova,VN,2021,3408,29.2,58.6854460094,2.2123893805,904,902,2,447,9,1,92,71,0,136,115,5,28,0,0
26,Venda Nova,VN,2021,7275,29.2,27.4914089347,2.2123893805,904,902,2,447,9,1,92,71,0,136,115,5,28,0,0
